algorithm_version,bar_index,bars_since_swing,break_level,broken_swing_index,direction,event_timestamp,parameters,source,swing_timestamp,timeframe
internal_choch_v1,11,3,4379.365,8,bearish,1786729200,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786728300,5m
internal_choch_v1,22,6,4381.8,16,bullish,1786732500,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786730700,5m
internal_choch_v1,24,12,4376.47,12,bearish,1786733100,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786729500,5m
internal_choch_v1,32,3,4377.285,29,bullish,1786735500,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786734600,5m
internal_choch_v1,24,3,4395.44,21,bearish,1786511700,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786509000,15m
internal_choch_v1,33,3,4406.445,30,bullish,1786519800,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786517100,15m
internal_choch_v1,47,5,4410.945,42,bearish,1786532400,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786527900,15m
internal_choch_v1,52,4,4416.805,48,bullish,1786536900,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786533300,15m
internal_choch_v1,69,3,4411.145,66,bearish,1786552200,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786549500,15m
internal_choch_v1,77,4,4411.575,73,bullish,1786559400,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786555800,15m
internal_choch_v1,87,3,4406.725,84,bearish,1786572000,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786565700,15m
internal_choch_v1,95,16,4418.475,79,bullish,1786579200,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786561200,15m
internal_choch_v1,111,6,4399.135,105,bearish,1786593600,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786588200,15m
internal_choch_v1,132,6,4378.87,126,bullish,1786612500,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786607100,15m
internal_choch_v1,149,4,4380.88,145,bearish,1786627800,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786624200,15m
internal_choch_v1,179,3,4352.28,176,bullish,1786658400,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786652100,15m
internal_choch_v1,188,5,4349.315,183,bearish,1786666500,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786662000,15m
internal_choch_v1,210,3,4327.135,207,bullish,1786686300,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786683600,15m
internal_choch_v1,256,3,4380.415,253,bearish,1786727700,"{""swing_left"": 2, ""swing_right"": 2, ""break_mode"": ""close"", ""require_close_break"": true, ""minimum_break"": 0.0, ""algorithm_version"": ""internal_choch_v1"", ""equivalence_status"": ""unvalidated_against_luxalgo"", ""extras"": {}}",internal_structure,1786725000,15m
